"","symbol","mean","stddev"
"384","TLR1",0.015645301205003,0.11590388224708
"385","AKR1C3",0.263175031639303,0.639576365780599
"386","MATN1",0.00110824551364747,0.0341549106721307
"387","DLGAP5",0.00216411437900127,0.0469724934381406
"388","E2F8",0.00095357390563796,0.0265352000598426
"389","CD86",0.00626693911458851,0.0957662869652349
"390","ZNF311",0.00289531085803117,0.0393912715135284
"391","C4BPA",0.026670436371695,0.183524612964742
"392","PHACTR3",0.00137567363231861,0.034546339029065
"393","PCDHAC2",0.00748636007334649,0.0833983284502609
"394","NIPAL4",0.0029556984639189,0.0564413803242585
"395","IL13RA2",0.0116597736690479,0.115886275776807
"396","DHRS3",0.296227219676429,0.60067425781537
"397","ERG",0.0313776641389462,0.234826196976527
"398","TTC29",0.000586484653258145,0.0232844771800761
"399","AFAP1L1",0.0177084227937968,0.166249506505292
"400","KCNIP3",0.00512815326469059,0.0745167451168275
"401","CRYAB",0.103841254666545,0.439527696769512
"402","ITGB2",0.0157740894654044,0.178194517399252
"403","APOBEC3B",0.0124778564633902,0.106556176770672
"404","TRPV2",0.0268822045059588,0.178323203964631
"405","CXCL12",0.051416875977576,0.256720917505754
"406","SPARCL1",0.0363557396760278,0.274298713320989
"407","FNDC1",0.00283663208954655,0.0505987706376209
"408","SMIM17",0.00653707086085313,0.0609964648029017
"409","RBM44",0.0027401957100411,0.0476631997720534
"410","KPNA7",0.00926861993447139,0.0952357519126883
"411","CRYGD",0.00352502141053482,0.0619377480815493
"412","RHBDF1",0.0801003408898056,0.282918490733407
"413","RAB27B",0.0437604097675035,0.203641114163166
"414","ARHGAP20",0.00213608936412471,0.0432208152413936
"415","ADAMTS9",0.0897376603404084,0.37285787424816
"416","KLHL31",0.00482800988419927,0.0649805186578774
"417","SEMA3A",0.00707900982897756,0.0836300253612336
"418","CPVL",0.0162411743314313,0.123925378507198
"419","GATA3",0.00236364689436155,0.0583201999337226
"420","CD1D",0.00747226522713132,0.0985406531602007
"421","TTK",0.00360148237268639,0.0564406538163511
"422","CXCL17",0.101919007020764,0.391765704963781
"423","RAB34",0.0684528152916773,0.289680846250701
"424","KCTD4",0.000953796315083511,0.0299911870437059
"425","NPY1R",0.00971032380428042,0.088891952397702
"426","FOXP3",0.00103955072032014,0.0271947213394066
"427","PP2D1",0.00114735710550438,0.0328197776429413
"428","BMPR1B",0.00923136915576282,0.0893126416085776
"429","SRPX2",0.0338296932656271,0.209624098069456
"430","MSR1",0.00443008049554273,0.0855297946974338
"431","C15orf54",0.00141654583392158,0.041341396666027
"432","ALDH1A1",1.48095451204229,1.34918341904999
"433","PDGFRB",0.11430578757676,0.537999160928074
"434","COL5A2",0.0748525119386069,0.375231284262287
"435","ZNF256",0.0164769019812848,0.117223251088049
"436","LGALS1",0.230914957852001,0.639044392871933
"437","ACVRL1",0.0539086930247323,0.327176821164831
"438","OSBPL5",0.0314129270137599,0.196575437892835
"439","SUSD3",0.00279026817808323,0.0559028773673321
